sl no,Gender,Age,You are  teaching in Which category of school,You are from which state,You teach in which Board,Which level you are teaching,Which platform do you use for delivering your content,Level of preparation required for online teaching compared to offline teaching,Your level of technical expertise,Effectiveness of Online teaching-learning Process compared to Classroom Teaching,Attitude of Students towards Online Classes,Performance of students in exams based on online classes,How do you rate your stress level in managing the online classes and video preparation compared to classroom teaching,Attentiveness of students during online session compared to classroom sessions,Your satisfaction level taking online classes compared to offline classes,Any other Suggestions or Information you want to give
1,FEMALE,53,,,,Lower Primary;Upper Primary;High School,Zoom,More,,Same,Good,good,High,Good,Medium,
2,MALE,40,,,,Plus 2,Google Meet,More,,Less,Poor,good,High,poor,Low,
3,FEMALE,48,,,,Plus 2,Google Meet,More,,Same,Good,good,Same,Good,Medium,Effectiveness depends on the positive attitude of the teacher and the taught.
4,FEMALE,55,,Kerala,State,Plus 2,Google Meet,More,,Less,Poor,poor,Medium,poor,Medium,"According to students compacity,interst, circumstances,economic  background etc"
5,FEMALE,36,,Kerala,State,Plus 2,others,Same,,Not sure,Good,good,Medium,poor,Medium,
6,MALE,54,,Kerala,State,Plus 2,Google Meet,More,,Less,Good,good,Low,poor,Low,"Corresponds to each student at random during the online class, in order to make them more attentive"
7,MALE,41,,Kerala,State,Plus 2,Google Meet,More,,Less,Poor,poor,Low,poor,Low,
8,FEMALE,45,,Kerala,State,Plus 2,Google Meet,More,,Less,Poor,poor,High,Satisfactory,Low,No
9,MALE,Wilson C A,Aided,Kerala,State,Plus 2,Zoom;Google Meet,More,Medium,Less,Poor,poor,Medium,poor,Low,No
10,FEMALE,52,Private,Kerala,CBSE,Upper Primary,Zoom,More,Medium,Less,Good,very good,Medium,Satisfactory,High,No
11,FEMALE,34,Private,Kerala,CBSE,Lower Primary,Zoom,More,Medium,Less,Good,good,High,Satisfactory,Medium,"Initially the children were excited, but later on they don't want sit. Screen time also more and it's too much strain for our eyes."
12,FEMALE,54,Private,Kerala,CBSE,Upper Primary,Zoom,Same,High,Not sure,Good,,Same,Good,Medium,
13,FEMALE,58,Private,Kerala,CBSE,Upper Primary,Zoom,More,Medium,Less,Good,very good,High,Satisfactory,Medium,
14,FEMALE,49,Private,Kerala,CBSE,Plus 2,Zoom,More,satisfactory,Not sure,Good,good,Medium,Satisfactory,Medium,
15,FEMALE,52,Private,Kerala,CBSE,High School,Zoom,More,Medium,Less,Poor,poor,High,Satisfactory,Medium,"I think it is unfair to cut a percentage of the teachers salary. The teacher is on call 24 x 7 and she is working without a break. Also she has to bear the additional expense of electricity, internet, buying new gadgets and repair of gadgets."
16,MALE,40,Government,Kerala,State,Plus 2,Google Meet,More,Medium,Less,Good,good,Medium,Satisfactory,Low,
17,FEMALE,45,Private,Kerala,ICSE,Lower Primary,others,More,Low,Less,Good,Excellent,High,Satisfactory,Low,no
18,FEMALE,43,Private,Kerala,State;ICSE,Upper Primary,Microsoft Teams,More,Medium,Less,Poor,good,High,poor,Low,No
19,FEMALE,45,Private,Kerala,ICSE,Lower Primary,others,More,Low,Less,Good,good,High,poor,Low,for me classroom teaching is best.
20,FEMALE,,Private,Kerala,CBSE,Lower Primary,Zoom,More,High,Not sure,Very good,very good,High,Good,Medium,
21,FEMALE,48,Private,Kerala,CBSE,Lower Primary,Zoom,More,High,Less,Good,good,Same,Good,Medium,
22,FEMALE,38,Aided,Kerala,State,Plus 2,Google Meet,More,Medium,Not sure,Poor,poor,Medium,Satisfactory,Low,
23,FEMALE,44,Private,Kerala,CBSE,Upper Primary,Google Meet,More,High,More,Very good,very good,Medium,Satisfactory,High,Students under parents supervension do extremly well unlike others.
24,FEMALE,47,Government,Kerala,State,Plus 2,Google Meet,Less,Medium,Less,Good,good,Medium,Satisfactory,Medium,
25,FEMALE,51,Private,Kerala,CBSE,Lower Primary,Zoom;Google Meet,More,Medium,Less,Poor,good,High,poor,Low,We feel that the year has not gone waste as we tried our level best to teach them. The coming year only will tell how the year went by. The involvement of kids hope should be good as last year they were new to  it.Keeping the positivity intact and hoping for the best in coming year.
26,FEMALE,30,Government,UP,CBSE,Upper Primary;High School,Google Meet,More,Medium,More,Very good,good,Low,Satisfactory,Medium,
27,FEMALE,42,Government,Kerala,State,Plus 2,Google Meet,More,satisfactory,Less,Poor,good,Medium,Satisfactory,Medium,
28,FEMALE,41,Government,Kerala,State,Plus 2,others,More,Medium,Less,Good,good,High,Satisfactory,Medium,These are effective after removing digital devide
29,FEMALE,,Government,Kerala,State,Plus 2,Google Meet,More,Medium,Less,Poor,poor,Medium,Satisfactory,Low,
30,MALE,40,Government,Kerala,State,Plus 2,Google Meet,Less,Medium,Less,Poor,poor,Medium,poor,Medium,
31,FEMALE,44,Government,Kerala,State,Plus 2,Google Meet,More,Medium,Less,Poor,poor,Medium,poor,Low,
32,FEMALE,47,Private,Kerala,CBSE,High School,Zoom,Same,Medium,Less,Good,good,High,Satisfactory,Medium,
33,FEMALE,35,Private,Kerala,CBSE,Upper Primary;High School,Google Meet,More,Medium,Less,Good,good,High,Satisfactory,Medium,
34,FEMALE,40,Government,Kerala,State,Plus 2,Google Meet,More,Medium,Less,Good,good,High,Satisfactory,Low,
35,FEMALE,55,Private,Kerala,CBSE,Lower Primary;Upper Primary;High School;Plus 2,Google Meet,Same,Medium,Not sure,Good,good,Medium,Good,Medium,Nil
36,FEMALE,54,Private,Kerala,CBSE,Lower Primary;Upper Primary;High School,Google Meet,Same,satisfactory,Less,Good,good,Medium,Good,Medium,No
37,FEMALE,40,Government,Kerala,State,Plus 2,Google Meet,More,Medium,Less,Poor,poor,Medium,poor,Medium,Need active participation of all students
38,FEMALE,51,Private,Kerala,CBSE,High School,Zoom;Google Meet,More,Low,Less,Good,good,Medium,Satisfactory,Medium,
39,FEMALE,45,Private,Kerala,CBSE,Lower Primary;Upper Primary;Plus 2,Zoom;Google Meet,More,Medium,Not sure,Good,very good,High,poor,Medium,
